-5.45,8.09017,-248,-246
-5.425,5.87785,-212,-184
-5.4,3.09017,-174,-110
-5.375,0,-138,-28
-5.35,-3.09017,-110,52
-5.325,-5.87785,-90,124
-5.3,-8.09017,-78,180
-5.275,-9.51056,-72,218
-5.25,-10,-70,232
-5.225,-9.51056,-70,218
-5.2,-8.09017,-76,180
-5.175,-5.87785,-86,124
-5.15,-3.09017,-104,52
-5.125,0,-132,-28
-5.1,3.09017,-166,-108
-5.075,5.87785,-202,-184
-5.05,8.09017,-236,-244
-5.025,9.51056,-258,-286
-5,10,-266,-300
-4.975,9.51056,-258,-284
-4.95,8.09017,-234,-244
-4.925,5.87785,-198,-182
-4.9,3.09017,-160,-108
-4.875,0,-126,-26
-4.85,-3.09017,-98,52
-4.825,-5.87785,-78,124
-4.8,-8.09017,-68,182
-4.775,-9.51056,-62,220
-4.75,-10,-60,232
-4.725,-9.51056,-60,220
-4.7,-8.09017,-66,182
-4.675,-5.87785,-74,126
-4.65,-3.09017,-92,54
-4.625,0,-118,-26
-4.6,3.09017,-152,-106
-4.575,5.87785,-188,-182
-4.55,8.09017,-222,-244
-4.525,9.51056,-244,-284
-4.5,10,-252,-298
-4.475,9.51056,-242,-284
-4.45,8.09017,-218,-242
-4.425,5.87785,-184,-182
-4.4,3.09017,-146,-106
-4.375,0,-112,-26
-4.35,-3.09017,-86,54
-4.325,-5.87785,-68,126
-4.3,-8.09017,-56,184
-4.275,-9.51056,-52,222
-4.25,-10,-50,234
-4.225,-9.51056,-50,222
-4.2,-8.09017,-54,184
-4.175,-5.87785,-64,126
-4.15,-3.09017,-80,56
-4.125,0,-106,-24
-4.1,3.09017,-138,-104
-4.075,5.87785,-174,-180
-4.05,8.09017,-206,-242
-4.025,9.51056,-228,-282
-4,10,-236,-296
-3.975,9.51056,-228,-282
-3.95,8.09017,-204,-242
-3.925,5.87785,-170,-180
-3.9,3.09017,-134,-104
-3.875,0,-100,-24
-3.85,-3.09017,-74,56
-3.825,-5.87785,-56,128
-3.8,-8.09017,-46,186
-3.775,-9.51056,-42,222
-3.75,-10,-40,236
-3.725,-9.51056,-40,224
-3.7,-8.09017,-44,186
-3.675,-5.87785,-52,128
-3.65,-3.09017,-68,58
-3.625,0,-94,-22
-3.6,3.09017,-126,-102
-3.575,5.87785,-160,-178
-3.55,8.09017,-192,-240
-3.525,9.51056,-214,-280
-3.5,10,-222,-294
-3.475,9.51056,-212,-280
-3.45,8.09017,-188,-240
-3.425,5.87785,-156,-178
-3.4,3.09017,-120,-102
-3.375,0,-88,-20
-3.35,-3.09017,-62,58
-3.325,-5.87785,-44,130
-3.3,-8.09017,-36,188
-3.275,-9.51056,-32,224
-3.25,-10,-30,238
-3.225,-9.51056,-32,226
-3.2,-8.09017,-34,188
-3.175,-5.87785,-42,132
-3.15,-3.09017,-56,60
-3.125,0,-80,-20
-3.1,3.09017,-112,-100
-3.075,5.87785,-146,-176
-3.05,8.09017,-178,-238
-3.025,9.51056,-198,-278
-3,10,-206,-292
-2.975,9.51056,-198,-278
-2.95,8.09017,-174,-236
-2.925,5.87785,-142,-174
-2.9,3.09017,-106,-100
-2.875,0,-74,-18
-2.85,-3.09017,-50,62
-2.825,-5.87785,-34,132
-2.8,-8.09017,-26,190
-2.775,-9.51056,-22,228
-2.75,-10,-20,240
-2.725,-9.51056,-22,228
-2.7,-8.09017,-24,190
-2.675,-5.87785,-30,134
-2.65,-3.09017,-44,62
-2.625,0,-68,-18
-2.6,3.09017,-98,-98
-2.575,5.87785,-132,-174
-2.55,8.09017,-162,-234
-2.525,9.51056,-184,-276
-2.5,10,-192,-290
-2.475,9.51056,-182,-276
-2.45,8.09017,-160,-234
-2.425,5.87785,-128,-172
-2.4,3.09017,-92,-96
-2.375,0,-62,-16
-2.35,-3.09017,-38,64
-2.325,-5.87785,-22,136
-2.3,-8.09017,-16,192
-2.275,-9.51056,-12,230
-2.25,-10,-12,242
-2.225,-9.51056,-12,230
-2.2,-8.09017,-14,192
-2.175,-5.87785,-20,136
-2.15,-3.09017,-34,66
-2.125,0,-56,-14
-2.1,3.09017,-84,-96
-2.075,5.87785,-118,-170
-2.05,8.09017,-148,-232
-2.025,9.51056,-168,-274
-2,10,-176,-288
-1.975,9.51056,-168,-272
-1.95,8.09017,-144,-232
-1.925,5.87785,-114,-170
-1.9,3.09017,-80,-94
-1.875,0,-48,-12
-1.85,-3.09017,-26,66
-1.825,-5.87785,-12,138
-1.8,-8.09017,-4,196
-1.775,-9.51056,-2,232
-1.75,-10,-2,246
-1.725,-9.51056,-2,232
-1.7,-8.09017,-2,196
-1.675,-5.87785,-8,138
-1.65,-3.09017,-22,68
-1.625,0,-42,-12
-1.6,3.09017,-72,-92
-1.575,5.87785,-104,-168
-1.55,8.09017,-134,-230
-1.525,9.51056,-154,-270
-1.5,10,-160,-284
-1.475,9.51056,-152,-270
-1.45,8.09017,-130,-228
-1.425,5.87785,-100,-166
-1.4,3.09017,-66,-92
-1.375,0,-36,-10
-1.35,-3.09017,-14,70
-1.325,-5.87785,0,142
-1.3,-8.09017,6,198
-1.275,-9.51056,8,234
-1.25,-10,8,248
-1.225,-9.51056,8,236
-1.2,-8.09017,8,198
-1.175,-5.87785,2,142
-1.15,-3.09017,-10,70
-1.125,0,-30,-8
-1.1,3.09017,-58,-90
-1.075,5.87785,-88,-164
-1.05,8.09017,-118,-226
-1.025,9.51056,-138,-268
-1,10,-146,-282
-0.975,9.51056,-138,-268
-0.95,8.09017,-116,-226
-0.925,5.87785,-84,-164
-0.9,3.09017,-52,-88
-0.875,0,-24,-6
-0.85,-3.09017,-2,72
-0.825,-5.87785,10,144
-0.8,-8.09017,16,202
-0.775,-9.51056,18,238
-0.75,-10,18,250
-0.725,-9.51056,18,238
-0.7,-8.09017,18,202
-0.675,-5.87785,14,146
-0.65,-3.09017,2,74
-0.625,0,-16,-4
-0.6,3.09017,-44,-86
-0.575,5.87785,-74,-162
-0.55,8.09017,-104,-224
-0.525,9.51056,-124,-264
-0.5,10,-130,-278
-0.475,9.51056,-122,-264
-0.45,8.09017,-100,-222
-0.425,5.87785,-70,-160
-0.4,3.09017,-38,-84
-0.375,0,-10,-4
-0.35,-3.09017,10,76
-0.325,-5.87785,22,148
-0.3,-8.09017,26,204
-0.275,-9.51056,28,242
-0.25,-10,28,254
-0.225,-9.51056,28,242
-0.2,-8.09017,28,204
-0.175,-5.87785,26,148
-0.15,-3.09017,14,78
-0.125,0,-4,-2
-0.1,3.09017,-30,-82
-0.075,5.87785,-60,-158
-0.05,8.09017,-88,-220
-0.025,9.51056,-108,-260
0,10,-116,-276
0.025,9.51056,-106,-260
0.05,8.09017,-86,-218
0.075,5.87785,-56,-156
0.1,3.09017,-24,-80
0.125,0,2,0
0.15,-3.09017,22,80
0.175,-5.87785,32,152
0.2,-8.09017,36,208
0.225,-9.51056,38,244
0.25,-10,38,258
0.275,-9.51056,38,244
0.3,-8.09017,40,208
0.325,-5.87785,36,152
0.35,-3.09017,26,82
0.375,0,10,2
0.4,3.09017,-16,-78
0.425,5.87785,-46,-154
0.45,8.09017,-74,-216
0.475,9.51056,-94,-258
0.5,10,-100,-272
0.525,9.51056,-92,-256
0.55,8.09017,-70,-216
0.575,5.87785,-42,-152
0.6,3.09017,-10,-76
0.625,0,16,4
0.65,-3.09017,34,84
0.675,-5.87785,44,154
0.7,-8.09017,48,212
0.725,-9.51056,48,248
0.75,-10,48,260
0.775,-9.51056,48,248
0.8,-8.09017,50,212
0.825,-5.87785,48,156
0.85,-3.09017,38,86
0.875,0,22,6
0.9,3.09017,-2,-74
0.925,5.87785,-32,-150
0.95,8.09017,-58,-212
0.975,9.51056,-78,-254
1,10,-84,-268
1.025,9.51056,-76,-252
1.05,8.09017,-56,-212
1.075,5.87785,-26,-148
1.1,3.09017,4,-72
1.125,0,28,8
1.15,-3.09017,46,88
1.175,-5.87785,56,158
1.2,-8.09017,58,216
1.225,-9.51056,58,252
1.25,-10,58,264
1.275,-9.51056,58,252
1.3,-8.09017,60,216
1.325,-5.87785,58,160
1.35,-3.09017,52,90
1.375,0,36,10
1.4,3.09017,12,-70
1.425,5.87785,-16,-146
1.45,8.09017,-44,-208
1.475,9.51056,-62,-248
1.5,10,-70,-264
1.525,9.51056,-62,-248
1.55,8.09017,-40,-206
1.575,5.87785,-12,-144
1.6,3.09017,18,-68
1.625,0,42,12
1.65,-3.09017,58,92
1.675,-5.87785,66,162
1.7,-8.09017,68,220
1.725,-9.51056,68,256
1.75,-10,68,268
1.775,-9.51056,68,256
1.8,-8.09017,70,220
1.825,-5.87785,70,164
1.85,-3.09017,64,94
1.875,0,48,14
1.9,3.09017,26,-66
1.925,5.87785,-2,-142
1.95,8.09017,-28,-204
1.975,9.51056,-48,-244
2,10,-54,-258
2.025,9.51056,-46,-244
2.05,8.09017,-26,-202
2.075,5.87785,2,-140
2.1,3.09017,32,-64
2.125,0,54,18
2.15,-3.09017,70,96
2.175,-5.87785,78,168
2.2,-8.09017,78,224
2.225,-9.51056,78,260
2.25,-10,78,272
2.275,-9.51056,78,260
2.3,-8.09017,82,224
2.325,-5.87785,82,168
2.35,-3.09017,76,98
2.375,0,62,20
2.4,3.09017,40,-62
2.425,5.87785,12,-136
2.45,8.09017,-14,-198
2.475,9.51056,-32,-240
2.5,10,-38,-254
2.525,9.51056,-30,-240
2.55,8.09017,-10,-198
2.575,5.87785,18,-136
2.6,3.09017,46,-60
2.625,0,68,22
2.65,-3.09017,82,100
2.675,-5.87785,90,172
2.7,-8.09017,90,228
2.725,-9.51056,88,264
2.75,-10,88,278
2.775,-9.51056,88,264
2.8,-8.09017,92,228
2.825,-5.87785,92,174
2.85,-3.09017,88,102
2.875,0,74,24
2.9,3.09017,54,-56
2.925,5.87785,28,-132
2.95,8.09017,2,-194
2.975,9.51056,-16,-234
3,10,-22,-250
3.025,9.51056,-14,-234
3.05,8.09017,6,-192
